hash,timestamp_utc,to,amount,asset,symbol_non_ascii,kind,contract,block,is_error,chain_id,chain_name,retrieved_utc
0xe64b8fccc9d2ea579fbdb1f3fd0d5ca6b5a89526e0c04d28139dc35c9cc41972,2025-02-26 19:39:35,0x5679b4b6ac7968d56972822e4ba9e0e9aa731021,238.69689168934886,ETH,no,native,,21932653,0,1,Ethereum,2026-08-28 16:50:17
0xf8f582a952c8934890719e608570812367774972cab53a738c28507010751b41,2025-03-02 12:55:59,0x1743b4e13273ab8e86de51edaef12c5ef2026416,0.3,ETH,no,native,,21959324,0,1,Ethereum,2026-08-28 16:50:17
0x20bc2820d9be09cec9ffd479302fdf5d6f6348e69d05d24fea5a8351458f7b94,2025-03-02 13:50:59,0x9d977674985e1aecd1b5162456e2429ccbce2bbd,61.34,ETH,no,native,,21959598,0,1,Ethereum,2026-08-28 16:50:17
0xde6e333e2e5d820ce5433d224ff27d68534721ffee99f536729ea97a4dcce298,2025-03-02 13:53:47,0x535c86ef69cd7f7c618409928aff610b7cab7b83,249.0,ETH,no,native,,21959612,0,1,Ethereum,2026-08-28 16:50:17
0x5ab618b2842cb1e27479259f1f309e653b7016cb41fe2665f157961ff09a67be,2025-03-02 14:22:23,0x535c86ef69cd7f7c618409928aff610b7cab7b83,195.97,ETH,no,native,,21959754,0,1,Ethereum,2026-08-28 16:50:17
0xacdf4b379e956b019c2158747a44ba606d66b020b21be007c9dd70d7c5cce199,2025-03-02 15:49:59,0xf2fa83097ebb54b5204300fd88df7cb1a803276a,253.45694510749817,ETH,no,native,,21960192,0,1,Ethereum,2026-08-28 16:50:17
0x169f27a5c65d91866e173b8fad398ca4a63cfc6b8bd72c64129573b69059451a,2025-03-02 16:31:47,0xf2fa83097ebb54b5204300fd88df7cb1a803276a,200.61474072402305,ETH,no,native,,21960401,0,1,Ethereum,2026-08-28 16:50:17
0xf15a1a8b39bb241418aa1b38143bad1c5d1a6cbcfb8397370f56dd24225ac756,2025-03-02 18:02:11,0xe75e053856692c390700cb1f09928e1a1c9e2019,230.0,ETH,no,native,,21960852,0,1,Ethereum,2026-08-28 16:50:17
0x50fce7260cdff4aab71d790786bf047e5754f68cdfba2e6d84d73b231e514cff,2025-03-02 18:08:23,0xe75e053856692c390700cb1f09928e1a1c9e2019,222.574946700242,ETH,no,native,,21960883,0,1,Ethereum,2026-08-28 16:50:17
0x309a8e8ebddc793b126b88cc3396614a685e70f5214a3f91dd847380b41a4dbf,2025-02-26 19:40:35,0x567adc0aa0f505e1e5133ddca4750f7398731021,238.69689168934886,ЕTH,yes,token,0x29f7bbbc757abb299dd18e70f0d0f08cc7d570e6,21932657,0,1,Ethereum,2026-08-28 16:50:17
0xffe0c3a143a7d10e06a25c2c6d16dd8afcbcf9543ad35ded9104a61753a8d9b5,2025-02-27 08:12:59,0x5679836bc3ef588663ba50d56cc3f39006ef1021,238.69689168934886,EТH,yes,token,0x669507921b89c11536fe28fb2b955fbc23dbe86d,21936398,0,1,Ethereum,2026-08-28 16:50:17
0x17a29391e90b1333f46c7fb0bc3a0c69d12fa0220b3d0a10dbd050ce93b7908a,2025-03-02 12:56:59,0x174246b1b7b0de8e4ec65327df1fc0321e026416,0.3,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959329,0,1,Ethereum,2026-08-28 16:50:17
0x3af11d7d273a043855c45e1aad41f347d539dd35eeeaf5291db39b733658b4f2,2025-03-02 12:57:35,0x1743d08e607ea65d18e4e446d02da29ad6786416,0.3,EТH,yes,token,0x669507921b89c11536fe28fb2b955fbc23dbe86d,21959332,0,1,Ethereum,2026-08-28 16:50:17
0x30b311ae4599a58e19eef1e8ff7487163fd7f36925e79b053e5d1080272d8fb9,2025-03-02 12:58:11,0x174246b1b7b0de8e4ec65327df1fc0321e026416,0.3,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959335,0,1,Ethereum,2026-08-28 16:50:17
0x1fc4262eed93ea24bdcc249a618f29ac2a0ed2e6f035b3d4de5ca938a21cd4e0,2025-03-02 13:00:47,0x1743423ca8d31013679a1086885654d150576416,0.3,ЕТН...,yes,token,0x2a120e7f2f1d8ffd173ed17aa5089f11206b5177,21959348,0,1,Ethereum,2026-08-28 16:50:17
0x6ee4542fb3bcae4357d7ac0d29ae7dde3ec91fbf49b0d4c3fe16de393eac0246,2025-03-02 13:01:23,0x174246b1b7b0de8e4ec65327df1fc0321e026416,0.3,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959351,0,1,Ethereum,2026-08-28 16:50:17
0x4a97aeb791c83736725ed7e25ac0e810b5676665f0ff58fd1aab969074994b84,2025-03-02 13:08:47,0x1743423ca8d31013679a1086885654d150576416,0.3,ЕТН...,yes,token,0x2a120e7f2f1d8ffd173ed17aa5089f11206b5177,21959388,0,1,Ethereum,2026-08-28 16:50:17
0x09d95c047b149c7b8ae78514b1a2c6264a7781ce75227edfb49ebc0c10b5489e,2025-03-02 13:09:47,0x174246b1b7b0de8e4ec65327df1fc0321e026416,0.3,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959393,0,1,Ethereum,2026-08-28 16:50:17
0xfdefa00daf6942cc8b7163dc479443ecff280e54a92c6b8c9d1556a2e4af452d,2025-03-02 13:20:59,0x1743423ca8d31013679a1086885654d150576416,0.3,ЕТН...,yes,token,0x2a120e7f2f1d8ffd173ed17aa5089f11206b5177,21959449,0,1,Ethereum,2026-08-28 16:50:17
0x73002454218f6a2ddad4d27cb7dae4aee00de80947b71ac9355a9d422ca69467,2025-03-02 13:21:59,0x174246b1b7b0de8e4ec65327df1fc0321e026416,0.3,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959454,0,1,Ethereum,2026-08-28 16:50:17
0x76840780019c03e33539bc0c12c670d4a670d7e5bf2758713ed4adb3303544e4,2025-03-02 13:33:11,0x1743423ca8d31013679a1086885654d150576416,0.3,ЕТН...,yes,token,0x2a120e7f2f1d8ffd173ed17aa5089f11206b5177,21959510,0,1,Ethereum,2026-08-28 16:50:17
0x24f5c2923d266b00631dd0eef29d509b4927096cdf03827323bc42f3812093b1,2025-03-02 13:36:11,0x1743ae13f0b211716906048ee80443c005766416,0.3,EТH,yes,token,0x669507921b89c11536fe28fb2b955fbc23dbe86d,21959525,0,1,Ethereum,2026-08-28 16:50:17
0x4bec522be0efcdf6509a1a0193807e4cc736646146aad669de60961c245c09ba,2025-03-02 13:45:23,0x1743423ca8d31013679a1086885654d150576416,0.3,ЕТН...,yes,token,0x2a120e7f2f1d8ffd173ed17aa5089f11206b5177,21959570,0,1,Ethereum,2026-08-28 16:50:17
0x69da745c4bea7dacb756eed53846a5b7f1547b8e871d0ede06228a21f02ae0ae,2025-03-02 13:53:11,0x9d9b6df8eb6a77d927692b6f34aedf3194ce2bbd,61.34,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959609,0,1,Ethereum,2026-08-28 16:50:17
0x3f70584d826f393850f2ada57ce2bb5952d4a70d1c14595ce9fbc59242c5c310,2025-03-02 13:53:35,0x9d975daa127d9a0b42f629e58823490b5c0e2bbd,61.34,ЕТН...,yes,token,0x2a120e7f2f1d8ffd173ed17aa5089f11206b5177,21959611,0,1,Ethereum,2026-08-28 16:50:17
0xa20ac5fcd39377bc97ff70110855b012f6646c4e8d82c7f7db5ae9507640eafa,2025-03-02 13:54:11,0x9d9b6df8eb6a77d927692b6f34aedf3194ce2bbd,61.34,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959614,0,1,Ethereum,2026-08-28 16:50:17
0x78a94d6164bb37ebd486822af7b9471eb519dc2489e771c6f5c9a7f6c9630605,2025-03-02 13:55:47,0x53516d6f57919116d28fbd2b969381850aab7b83,249.0,ЕTH,yes,token,0xec84a5249b19f5bcd5123cff73512bcc05c8e33e,21959622,0,1,Ethereum,2026-08-28 16:50:17
